DATE,NO2
1/1/2023,33
1/2/2023,36
1/3/2023,34
1/4/2023,45
1/5/2023,45
1/6/2023,45
1/7/2023,43
1/8/2023,19
1/9/2023,28
1/10/2023,46
1/11/2023,33
1/12/2023,50
1/13/2023,48
1/14/2023,48
1/15/2023,24
1/16/2023,23
1/17/2023,19
1/18/2023,28
1/19/2023,31
1/20/2023,42
1/21/2023,32
1/22/2023,21
1/23/2023,31
1/24/2023,25
1/25/2023,30
1/26/2023,35
1/27/2023,26
1/28/2023,21
1/29/2023,20
1/30/2023,45
1/31/2023,80
2/1/2023,44
2/2/2023,66
2/3/2023,66
2/4/2023,52
2/5/2023,36
2/6/2023,31
2/7/2023,31
2/8/2023,23
2/9/2023,36
2/10/2023,37
2/11/2023,25
2/12/2023,21
2/13/2023,32
2/14/2023,32
2/15/2023,47
2/16/2023,43
2/17/2023,37
2/18/2023,34
2/19/2023,31
2/20/2023,36
2/21/2023,41
2/22/2023,44
2/23/2023,28
2/24/2023,38
2/25/2023,38
2/26/2023,31
2/27/2023,15
2/28/2023,31
3/1/2023,35
3/2/2023,42
3/3/2023,46
3/4/2023,35
3/5/2023,41
3/6/2023,28
3/7/2023,24
3/8/2023,27
3/9/2023,25
3/10/2023,25
3/11/2023,17
3/12/2023,27
3/13/2023,36
3/14/2023,22
3/15/2023,57
3/16/2023,53
3/17/2023,25
3/18/2023,16
3/19/2023,22
3/20/2023,24
3/21/2023,54
3/22/2023,39
3/23/2023,34
3/24/2023,23
3/25/2023,21
3/26/2023,14
3/27/2023,28
3/28/2023,46
3/29/2023,49
3/30/2023,24
3/31/2023,19
4/1/2023,10
4/2/2023,10
4/3/2023,23
4/4/2023,15
4/5/2023,24
4/6/2023,19
4/7/2023,17
4/8/2023,25
4/9/2023,24
4/10/2023,35
4/11/2023,27
4/12/2023,19
4/13/2023,17
4/14/2023,16
4/15/2023,13
4/16/2023,9
4/17/2023,17
4/18/2023,24
4/19/2023,31
4/20/2023,40
4/21/2023,35
4/22/2023,13
4/23/2023,15
4/24/2023,23
4/25/2023,26
4/26/2023,39
4/27/2023,49
4/28/2023,40
4/29/2023,22
4/30/2023,10
5/1/2023,8
5/2/2023,17
5/3/2023,33
5/4/2023,17
5/5/2023,29
5/6/2023,22
5/7/2023,11
5/8/2023,21
5/9/2023,19
5/10/2023,13
5/11/2023,10
5/12/2023,10
5/13/2023,7
5/14/2023,8
5/15/2023,11
5/16/2023,10
5/17/2023,9
5/18/2023,10
5/19/2023,10
5/20/2023,9
5/21/2023,10
5/22/2023,17
5/23/2023,13
5/24/2023,16
5/25/2023,24
5/26/2023,18
5/27/2023,15
5/28/2023,17
5/29/2023,26
5/30/2023,29
5/31/2023,26
6/1/2023,22
6/2/2023,21
6/3/2023,17
6/4/2023,16
6/5/2023,24
6/6/2023,24
6/7/2023,24
6/8/2023,25
6/9/2023,19
6/10/2023,15
6/11/2023,18
6/12/2023,18
6/13/2023,21
6/14/2023,18
6/15/2023,22
6/16/2023,29
6/17/2023,34
6/18/2023,14
6/19/2023,24
6/20/2023,20
6/21/2023,25
6/22/2023,28
6/23/2023,22
6/24/2023,26
6/25/2023,26
6/26/2023,28
6/27/2023,25
6/28/2023,27
6/29/2023,22
6/30/2023,9
