DATE,TMEDIA,PRECIPITACION,VELMEDIA
1/1/2023,112,0.1,19
1/2/2023,102,0.1,17
1/3/2023,87,0,17
1/4/2023,82,0,14
1/5/2023,82,0,11
1/6/2023,68,0,11
1/7/2023,50,4.9,14
1/8/2023,109,4.3,83
1/9/2023,90,0,33
1/10/2023,76,Ip,17
1/11/2023,79,0.2,14
1/12/2023,69,0,14
1/13/2023,77,0,14
1/14/2023,64,0,8
1/15/2023,78,0,33
1/16/2023,60,0.7,92
1/17/2023,64,0,89
1/18/2023,47,Ip,47
1/19/2023,36,Ip,67
1/20/2023,99,0,58
1/21/2023,72,0,19
1/22/2023,43,0,22
1/23/2023,38,0,33
1/24/2023,18,0,19
1/25/2023,46,0,28
1/26/2023,47,0,19
1/27/2023,29,0,42
1/28/2023,38,0,25
1/29/2023,23,0,19
1/30/2023,37,0,11
1/31/2023,48,0,3
2/1/2023,68,0,19
2/2/2023,75,0,11
2/3/2023,90,0,3
2/4/2023,85,0,8
2/5/2023,102,0,19
2/6/2023,68,Ip,39
2/7/2023,44,1.7,11
2/8/2023,64,0,22
2/9/2023,72,0,19
2/10/2023,56,0,19
2/11/2023,60,0,36
2/12/2023,68,0,28
2/13/2023,62,0,31
2/14/2023,76,0,33
2/15/2023,98,0,14
2/16/2023,92,0,11
2/17/2023,89,0,17
2/18/2023,102,0,22
2/19/2023,126,0,17
2/20/2023,134,0,33
2/21/2023,130,0,22
2/22/2023,112,0,22
2/23/2023,59,Ip,47
2/24/2023,46,0,17
2/25/2023,45,0,14
2/26/2023,58,0,33
2/27/2023,30,0,33
2/28/2023,33,0,17
3/1/2023,18,0,14
3/2/2023,46,0,17
3/3/2023,65,0,19
3/4/2023,67,0,22
3/5/2023,61,2.7,17
3/6/2023,89,0.2,61
3/7/2023,114,1.3,72
3/8/2023,132,12.3,78
3/9/2023,142,0.1,53
3/10/2023,134,0,50
3/11/2023,146,0,47
3/12/2023,154,0,14
3/13/2023,150,0,61
3/14/2023,122,0,33
3/15/2023,130,0,14
3/16/2023,151,0,19
3/17/2023,138,0,72
3/18/2023,106,0.3,25
3/19/2023,127,0,14
3/20/2023,132,0,17
3/21/2023,141,0,19
3/22/2023,150,0,39
3/23/2023,142,0,36
3/24/2023,143,0,44
3/25/2023,138,0,44
3/26/2023,142,0,50
3/27/2023,138,0,22
3/28/2023,154,0,11
3/29/2023,178,0,31
3/30/2023,162,0,58
3/31/2023,154,0,61
4/1/2023,144,0,56
4/2/2023,116,0,25
4/3/2023,120,0,19
4/4/2023,138,0,36
4/5/2023,132,0,11
4/6/2023,166,0,17
4/7/2023,164,0,25
4/8/2023,174,0,17
4/9/2023,189,0,33
4/10/2023,203,0,19
4/11/2023,186,0,42
4/12/2023,146,0.2,39
4/13/2023,118,0,44
4/14/2023,135,0,47
4/15/2023,167,0,22
4/16/2023,174,0,28
4/17/2023,174,0,22
4/18/2023,164,0,25
4/19/2023,174,0,19
4/20/2023,190,0,39
4/21/2023,183,7,39
4/22/2023,161,0.1,44
4/23/2023,168,0,42
4/24/2023,185,0,22
4/25/2023,208,0,33
4/26/2023,219,0,39
4/27/2023,236,0,25
4/28/2023,252,0,33
4/29/2023,216,Ip,36
4/30/2023,196,0,25
5/1/2023,192,0,11
5/2/2023,205,0,19
5/3/2023,231,0,33
5/4/2023,194,0,69
5/5/2023,193,0,36
5/6/2023,204,0,39
5/7/2023,217,0,28
5/8/2023,218,0,19
5/9/2023,223,0,42
5/10/2023,191,0,25
5/11/2023,164,0,31
5/12/2023,134,0,42
5/13/2023,138,0,31
5/14/2023,146,0,19
5/15/2023,154,0,22
5/16/2023,160,0,22
5/17/2023,161,0,53
5/18/2023,160,0,39
5/19/2023,156,0,33
5/20/2023,145,0,22
5/21/2023,166,0.1,33
5/22/2023,192,0.5,33
5/23/2023,193,4,42
5/24/2023,191,Ip,31
5/25/2023,192,23.3,42
5/26/2023,152,3.9,44
5/27/2023,174,10.5,33
5/28/2023,161,0.1,31
5/29/2023,176,8.1,28
5/30/2023,178,10.4,28
5/31/2023,180,0,22
6/1/2023,195,0.6,22
6/2/2023,189,2,17
6/3/2023,193,2.9,14
6/4/2023,208,0,22
6/5/2023,216,0,33
6/6/2023,218,2,19
6/7/2023,187,6.9,28
6/8/2023,180,0.6,36
6/9/2023,190,0,44
6/10/2023,214,0,28
6/11/2023,222,0,42
6/12/2023,224,0.3,39
6/13/2023,202,0.1,31
6/14/2023,215,0,11
6/15/2023,238,0,19
6/16/2023,262,0,22
6/17/2023,276,0,44
6/18/2023,263,2.3,42
6/19/2023,244,1.1,33
6/20/2023,228,0,39
6/21/2023,228,3.3,31
6/22/2023,222,0,19
6/23/2023,260,0,31
6/24/2023,278,0,19
6/25/2023,301,0,28
6/26/2023,298,0,28
6/27/2023,298,0,14
6/28/2023,292,0,25
6/29/2023,278,0,42
6/30/2023,237,0,28
